what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391796980534
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391796984370
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1391796984397
error,log,,,"error during type inferencing",1391796984626
error,log,,,"error during type inferencing",1391796984633
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1391796985964
error,log,,,"Errors occurred during the build.",1391796985968
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391796985986
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391796986042
opened,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1391796986219
error,log,,,"Undefined context while filtering dialog/window contexts",1391796986231
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1391796986257
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391796988534
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391796993075
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1391796995193
opened,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1391797001225
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1391797001287
error,log,,,"error during type inferencing",1391797001845
error,log,,,"Unexpected runtime error while computing a text hover",1391797005102
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1391797010889
closed,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1391797010889
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1391797012538
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391797018038
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391797020006
